earthquake,earthquakeLabel,location
http://www.wikidata.org/entity/Q5915107,Q5915107,Point(115.184 35.259)
http://www.wikidata.org/entity/Q5918813,Q5918813,Point(120.305 23.353)
http://www.wikidata.org/entity/Q5794767,Q5794767,Point(-53.083 -36.916)
http://www.wikidata.org/entity/Q5873870,1952 Damxung earthquake,Point(91.601 30.648)
http://www.wikidata.org/entity/Q5915014,Q5915014,Point(57.046 36.617)
http://www.wikidata.org/entity/Q5888970,Q5888970,Point(102.557 -5.412)
http://www.wikidata.org/entity/Q5725356,1997 Bojnurd earthquake,Point(57.291 37.661)
http://www.wikidata.org/entity/Q5908840,Q5908840,Point(101.638 -4.012)
http://www.wikidata.org/entity/Q5921811,2008 Wells earthquake,Point(-114.872 41.144)
http://www.wikidata.org/entity/Q5921808,Q5921808,Point(124.178 6.753)
http://www.wikidata.org/entity/Q5922601,Q5922601,Point(58.643 33.621)
http://www.wikidata.org/entity/Q5920207,Q5920207,Point(100.103 27.412)
http://www.wikidata.org/entity/Q5917745,1930 Pyu earthquake,Point(96.42 17.97)
http://www.wikidata.org/entity/Q5926389,Q5926389,Point(-66.5 -24.69972222)
http://www.wikidata.org/entity/Q5491192,1973 Colima earthquake,Point(-102.996 18.481)
http://www.wikidata.org/entity/Q5920005,Q5920005,Point(103.187 26.246)
http://www.wikidata.org/entity/Q5892720,1902 Turkestan earthquake,Point(76.42 39.87)
http://www.wikidata.org/entity/Q5923849,Q5923849,Point(122.6 24.802)
http://www.wikidata.org/entity/Q5439854,"February 4, 1998 Afghanistan earthquake",Point(70.08 37.07)
http://www.wikidata.org/entity/Q5873773,1900 San Narciso earthquake,Point(-66.0 11.0)
http://www.wikidata.org/entity/Q5892591,Q5892591,Point(85.572 44.284)
http://www.wikidata.org/entity/Q5912667,Q5912667,Point(99.247 23.714)
http://www.wikidata.org/entity/Q5914477,Q5914477,Point(-84.517 10.101)
http://www.wikidata.org/entity/Q5918202,Q5918202,Point(79.307 41.389)
http://www.wikidata.org/entity/Q5913744,1955 Yuzha earthquake,Point(101.78 26.467)
http://www.wikidata.org/entity/Q5908380,1907 Sumatra Earthquake,Point(95.5 2.5)
http://www.wikidata.org/entity/Q5923212,Q5923212,Point(100.262 31.633)
http://www.wikidata.org/entity/Q5915936,Q5915936,Point(124.079 12.835)
http://www.wikidata.org/entity/Q60314921,Q60314921,Point(157.551 -9.019)
http://www.wikidata.org/entity/Q56483720,2018 Hokkaido Eastern Iburi earthquake,Point(141.933 42.671)
http://www.wikidata.org/entity/Q47354608,2018 Peru earthquake,Point(-74.744 -15.776)
http://www.wikidata.org/entity/Q43342270,1624 Argenta earthquake,Point(11.85 44.65)
http://www.wikidata.org/entity/Q47486452,2018 Gulf of Alaska earthquake,Point(-149.073 56.046)
http://www.wikidata.org/entity/Q56154821,Alaska earthquake of 15 August 2018,Point(178.0 51.0)
http://www.wikidata.org/entity/Q56247589,Peru earthquake of 24 August 2018,Point(-70.817 -11.042)
http://www.wikidata.org/entity/Q56216369,Q56216369,Point(144.0 37.5)
http://www.wikidata.org/entity/Q60315016,Q60315016,Point(-116.876 33.966)
http://www.wikidata.org/entity/Q52692281,"May 4, 2018 Neuenburg am Rhein earthquake",Point(7.552 47.779)
http://www.wikidata.org/entity/Q57766428,2018 Ionian Sea earthquake,Point(20.557 37.52)
http://www.wikidata.org/entity/Q56193001,19 August 2018 Lombok earthquake,Point(116.626 -8.324)
http://www.wikidata.org/entity/Q55600414,1886 Peloponnese earthquake,Point(21.5 37.1)
http://www.wikidata.org/entity/Q57969274,2018 Taumarunui earthquake,Point(175.01 -39.03)
http://www.wikidata.org/entity/Q48936616,2018 Oaxaca earthquake,Point(-97.653 16.646)
http://www.wikidata.org/entity/Q48780880,1977 Tonga earthquake,Point(-175.71 -22.89)
http://www.wikidata.org/entity/Q55600410,1883 Çeşme earthquake,Point(26.4 38.3)
http://www.wikidata.org/entity/Q48472827,2018 Pohang earthquake,Point(129.307 36.088)
http://www.wikidata.org/entity/Q60315111,Q60315111,Point(-65.879 -57.664)
http://www.wikidata.org/entity/Q60022429,Q60022429,Point(-16.066697222 28.25)
http://www.wikidata.org/entity/Q55731090,Q55731090,Point(127.9 36.6)
http://www.wikidata.org/entity/Q56084756,Alaska earthquake of 12 August 2018,Point(-145.247 69.624)
http://www.wikidata.org/entity/Q56291141,2018 Molise earthquake,Point(14.83333333 41.9)
http://www.wikidata.org/entity/Q44266048,Q44266048,Point(57.307 30.746)
http://www.wikidata.org/entity/Q55726492,Q55726492,Point(144.59 38.058)
http://www.wikidata.org/entity/Q56593652,2018 Fiji earthquake,Point(179.35 -18.474)
http://www.wikidata.org/entity/Q55808122,July 2018 Lombok earthquake,Point(116.491 -8.274)
http://www.wikidata.org/entity/Q60317590,Q60317590,Point(123.615 23.488)
http://www.wikidata.org/entity/Q50555392,1893 Gargano earthquake,Point(16.075 41.714)
http://www.wikidata.org/entity/Q48178474,2018 Java earthquake,Point(105.963 -7.092)
http://www.wikidata.org/entity/Q44442950,1822 Costa Rica earthquake,Point(-83.0 9.5)
http://www.wikidata.org/entity/Q48841021,1963 Marj earthquake,Point(21.0 32.66)
http://www.wikidata.org/entity/Q51715279,1361 Apulia earthquake,Point(15.567 41.2)
http://www.wikidata.org/entity/Q60317638,Q60317638,Point(-117.18 34.005)
http://www.wikidata.org/entity/Q57276707,2018 East Java earthquake,Point(114.47 -7.42)
http://www.wikidata.org/entity/Q47482324,"earthquake in Fukushima, Japan in 6 October 2017, 23:56",Point(141.197 37.1)
http://www.wikidata.org/entity/Q55109477,1936 Kawachi–Yamato earthquake,Point(135.685 34.5175)
http://www.wikidata.org/entity/Q59313976,2018 Anchorage earthquake,Point(-149.937 61.34)
http://www.wikidata.org/entity/Q56253972,2018 Iran–Iraq earthquake,Point(46.2774 34.663)
http://www.wikidata.org/entity/Q48807512,1 December 1298 Rieti earthquake,Point(12.906 42.574)
http://www.wikidata.org/entity/Q56404141,Q56404141,Point(170.05 -22.066)
