seiyu,seiyuLabel,bDate
http://www.wikidata.org/entity/Q49524,Kana Hanazawa,1989-02-25T00:00:00Z
http://www.wikidata.org/entity/Q2735330,Hidekatsu Shibata,1937-03-25T00:00:00Z
http://www.wikidata.org/entity/Q2778060,Yoshito Yasuhara,1949-11-17T00:00:00Z
http://www.wikidata.org/entity/Q49576,كاوري ميزوهاشي,1974-08-28T00:00:00Z
http://www.wikidata.org/entity/Q44552,Uchida Maaya,1989-12-27T00:00:00Z
http://www.wikidata.org/entity/Q1141935,Mai Kadowaki,1980-09-08T00:00:00Z
http://www.wikidata.org/entity/Q1142399,Mitsuo Iwata,1967-07-31T00:00:00Z
http://www.wikidata.org/entity/Q3113155,يوساكو يارا,1948-03-15T00:00:00Z
http://www.wikidata.org/entity/Q3201278,Kōhei Miyauchi,1929-08-04T00:00:00Z
http://www.wikidata.org/entity/Q50016,Emiri Katō,1983-11-26T00:00:00Z
http://www.wikidata.org/entity/Q49563,Noriko Hidaka,1962-05-31T00:00:00Z
http://www.wikidata.org/entity/Q49569,Mamiko Noto,1980-02-06T00:00:00Z
http://www.wikidata.org/entity/Q1196972,يوجي أيدا,1967-06-15T00:00:00Z
http://www.wikidata.org/entity/Q50027,تشيوا سايتو,1981-03-12T00:00:00Z
http://www.wikidata.org/entity/Q3545924,Yūko Kotegawa,1959-07-16T00:00:00Z
http://www.wikidata.org/entity/Q4220896,Ryōko Kinomiya,1931-07-10T00:00:00Z
http://www.wikidata.org/entity/Q4308683,Reiko Mutō,1935-03-01T00:00:00Z
http://www.wikidata.org/entity/Q5966080,Ryo Katsuji,1986-08-20T00:00:00Z
http://www.wikidata.org/entity/Q1317610,Kumiko Watanabe,1965-10-07T00:00:00Z
http://www.wikidata.org/entity/Q237361,Mai Nakahara,1981-02-23T00:00:00Z
http://www.wikidata.org/entity/Q50026,Miyu Matsuki,1977-09-14T00:00:00Z
http://www.wikidata.org/entity/Q229347,Nana Mizuki,1980-01-21T00:00:00Z
http://www.wikidata.org/entity/Q6447430,كورومي ماميا,1976-11-10T00:00:00Z
http://www.wikidata.org/entity/Q242743,Junko Iwao,1970-02-18T00:00:00Z
http://www.wikidata.org/entity/Q1323148,Miki Itō,1962-10-21T00:00:00Z
http://www.wikidata.org/entity/Q1333036,Yukana,1975-01-06T00:00:00Z
http://www.wikidata.org/entity/Q1345336,Nobuhiko Okamoto,1986-10-24T00:00:00Z
http://www.wikidata.org/entity/Q1352269,Ryūsei Nakao,1951-02-05T00:00:00Z
http://www.wikidata.org/entity/Q239389,Houko Kuwashima,1975-12-12T00:00:00Z
http://www.wikidata.org/entity/Q6782643,Masaru Hamaguchi,1972-01-29T00:00:00Z
http://www.wikidata.org/entity/Q7630810,Subaru Kimura,1990-06-29T00:00:00Z
http://www.wikidata.org/entity/Q9102508,Hisako Kyōda,1935-02-22T00:00:00Z
http://www.wikidata.org/entity/Q254368,Megumi Ogata,1965-06-06T00:00:00Z
http://www.wikidata.org/entity/Q259422,Masako Nozawa,1936-10-25T00:00:00Z
http://www.wikidata.org/entity/Q50031,Hisako Kanemoto,1988-12-16T00:00:00Z
http://www.wikidata.org/entity/Q11671543,Miki Takahashi,1961-09-19T00:00:00Z
http://www.wikidata.org/entity/Q1353468,Mika Doi,1954-08-04T00:00:00Z
http://www.wikidata.org/entity/Q242493,Junko Takeuchi,1972-04-05T00:00:00Z
http://www.wikidata.org/entity/Q255694,هيكارو ميدوريكاوا,1968-05-02T00:00:00Z
http://www.wikidata.org/entity/Q2092493,Keiko Aizawa,1963-11-22T00:00:00Z
http://www.wikidata.org/entity/Q269542,Shizuka Itō,1980-12-05T00:00:00Z
http://www.wikidata.org/entity/Q237405,Aya Hirano,1987-10-08T00:00:00Z
http://www.wikidata.org/entity/Q418762,Akira Kamiya,1946-09-18T00:00:00Z
http://www.wikidata.org/entity/Q284653,Sumire Morohoshi,1999-04-23T00:00:00Z
http://www.wikidata.org/entity/Q2529130,Tesshō Genda,1948-05-20T00:00:00Z
http://www.wikidata.org/entity/Q427803,Ryoko Shiraishi,1982-09-07T00:00:00Z
http://www.wikidata.org/entity/Q449384,Kaori Shimizu,1983-05-21T00:00:00Z
http://www.wikidata.org/entity/Q2590930,佐々木望,1967-01-25T00:00:00Z
http://www.wikidata.org/entity/Q2668024,Keiko Yokozawa,1952-09-02T00:00:00Z
http://www.wikidata.org/entity/Q2706764,Eiko Yamada,1950-06-13T00:00:00Z
http://www.wikidata.org/entity/Q2707197,تاكومي يامازاكي,1964-04-14T00:00:00Z
http://www.wikidata.org/entity/Q464348,Takehito Koyasu,1967-05-05T00:00:00Z
http://www.wikidata.org/entity/Q503545,Norman Reedus,1969-01-06T00:00:00Z
http://www.wikidata.org/entity/Q49580,Satsuki Yukino,1970-05-25T00:00:00Z
http://www.wikidata.org/entity/Q3859598,ميوا ماتسوموتو,1971-12-15T00:00:00Z
http://www.wikidata.org/entity/Q4116691,Yōhei Tadano,1962-03-10T00:00:00Z
http://www.wikidata.org/entity/Q4353745,Kōichi Kitamura,1931-12-18T00:00:00Z
http://www.wikidata.org/entity/Q615567,Akiko Hiramatsu,1967-08-31T00:00:00Z
http://www.wikidata.org/entity/Q842960,ميكي ناغاساوا,1970-07-11T00:00:00Z
http://www.wikidata.org/entity/Q850710,كين,1982-03-24T00:00:00Z
http://www.wikidata.org/entity/Q541307,Yurika Ochiai,1979-12-09T00:00:00Z
http://www.wikidata.org/entity/Q592161,Tomoko Kawakami,1970-04-25T00:00:00Z
http://www.wikidata.org/entity/Q4451039,田中信夫,1935-08-01T00:00:00Z
http://www.wikidata.org/entity/Q5097275,Chiharu Suzuka,1958-08-15T00:00:00Z
http://www.wikidata.org/entity/Q6443895,Kumiko Takizawa,1952-08-21T00:00:00Z
http://www.wikidata.org/entity/Q6443895,Kumiko Takizawa,1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q7105696,Osamu Saka,1930-11-07T00:00:00Z
http://www.wikidata.org/entity/Q614781,ريوكو ناغاتا,1975-02-23T00:00:00Z
http://www.wikidata.org/entity/Q437504,Tatsuya Matsuda,1965-10-17T00:00:00Z
http://www.wikidata.org/entity/Q441288,Jun Fukuyama,1978-11-26T00:00:00Z
http://www.wikidata.org/entity/Q871452,أياني ساكورا,1994-01-29T00:00:00Z
http://www.wikidata.org/entity/Q888218,أيا سوزاكي,1986-12-25T00:00:00Z
http://www.wikidata.org/entity/Q902030,Risa Hayamizu,1975-02-28T00:00:00Z
http://www.wikidata.org/entity/Q7497712,شينوبو اداكى,1958-04-07T00:00:00Z
http://www.wikidata.org/entity/Q8979290,Hajime Koseki,1932-05-07T00:00:00Z
http://www.wikidata.org/entity/Q9047004,高野直子,1968-06-16T00:00:00Z
http://www.wikidata.org/entity/Q256910,Minori Chihara,1980-11-18T00:00:00Z
http://www.wikidata.org/entity/Q842563,Hyo-sei,1973-04-21T00:00:00Z
http://www.wikidata.org/entity/Q842574,Erino Hazuki,1975-08-03T00:00:00Z
http://www.wikidata.org/entity/Q842972,أسوكا تاني,1978-06-19T00:00:00Z
http://www.wikidata.org/entity/Q906134,كازيا إيتشيجو,1966-03-11T00:00:00Z
http://www.wikidata.org/entity/Q906134,كازيا إيتشيجو,1966-04-11T00:00:00Z
http://www.wikidata.org/entity/Q907205,Yōko Honda,1983-08-15T00:00:00Z
http://www.wikidata.org/entity/Q656124,Shin Aomori,1941-10-20T00:00:00Z
http://www.wikidata.org/entity/Q970521,Eiko Koike,1980-11-20T00:00:00Z
http://www.wikidata.org/entity/Q984641,Yūichi Nakamura,1980-02-20T00:00:00Z
http://www.wikidata.org/entity/Q11399164,Masayuki Katō,1972-09-23T00:00:00Z
http://www.wikidata.org/entity/Q11457832,Mikio Terashima,1931-09-04T00:00:00Z
http://www.wikidata.org/entity/Q11487184,Kumiko Hironaka,1954-07-30T00:00:00Z
http://www.wikidata.org/entity/Q11523377,Ayumu Murase,1988-12-14T00:00:00Z
http://www.wikidata.org/entity/Q14756009,مينامي تاكاهاشي,1990-12-20T00:00:00Z
http://www.wikidata.org/entity/Q987314,Tetsuya Iwanaga,1970-06-24T00:00:00Z
http://www.wikidata.org/entity/Q1010591,Kumi Sakuma,1976-11-02T00:00:00Z
http://www.wikidata.org/entity/Q1064240,Kaori Nazuka,1985-04-24T00:00:00Z
http://www.wikidata.org/entity/Q722363,Yoshino Nanjō,1984-07-12T00:00:00Z
http://www.wikidata.org/entity/Q769546,Chinami Nishimura,1970-11-18T00:00:00Z
http://www.wikidata.org/entity/Q936074,Yuri Amano,1966-01-05T00:00:00Z
http://www.wikidata.org/entity/Q958874,يوكو سانبي,1986-02-28T00:00:00Z
http://www.wikidata.org/entity/Q960528,Nobutoshi Canna,1968-06-10T00:00:00Z
http://www.wikidata.org/entity/Q780183,Naoya Uchida,1953-05-01T00:00:00Z
http://www.wikidata.org/entity/Q1135649,Mana Ashida,2004-06-23T00:00:00Z
http://www.wikidata.org/entity/Q665398,Eri Kitamura,1987-08-16T00:00:00Z
http://www.wikidata.org/entity/Q708022,Tetsuya Kakihara,1982-12-24T00:00:00Z
http://www.wikidata.org/entity/Q718358,Daisuke Ono,1978-05-04T00:00:00Z
http://www.wikidata.org/entity/Q1041007,Eri Sendai,1981-10-30T00:00:00Z
http://www.wikidata.org/entity/Q1142387,Hitomi Nabatame,1976-08-04T00:00:00Z
http://www.wikidata.org/entity/Q868230,Hidenari Ugaki,1963-07-25T00:00:00Z
http://www.wikidata.org/entity/Q908979,Nozomi Sasaki,1983-02-19T00:00:00Z
http://www.wikidata.org/entity/Q933540,ناوكي تاتستا,1950-09-08T00:00:00Z
http://www.wikidata.org/entity/Q951890,Chiaki Omigawa,1989-11-11T00:00:00Z
http://www.wikidata.org/entity/Q1057620,Akira Sasanuma,1973-03-25T00:00:00Z
http://www.wikidata.org/entity/Q1059007,Ai Nagano,1974-08-13T00:00:00Z
http://www.wikidata.org/entity/Q1076842,Kenji Hamada,1972-04-12T00:00:00Z
http://www.wikidata.org/entity/Q1143698,Ryōko Shintani,1981-03-30T00:00:00Z
http://www.wikidata.org/entity/Q1143698,Ryōko Shintani,1981-03-31T00:00:00Z
http://www.wikidata.org/entity/Q50022,Kanae Itō,1986-11-26T00:00:00Z
http://www.wikidata.org/entity/Q1060193,中村獅童,1972-09-14T00:00:00Z
http://www.wikidata.org/entity/Q994178,Yoshinori Fujita,1976-10-27T00:00:00Z
http://www.wikidata.org/entity/Q1043306,Tomohisa Asō,1949-05-13T00:00:00Z
http://www.wikidata.org/entity/Q1050107,Kazuki Shimizu,1990-04-24T00:00:00Z
http://www.wikidata.org/entity/Q1057734,Kiyoyuki Yanada,1965-05-10T00:00:00Z
http://www.wikidata.org/entity/Q1153870,Wataru Hatano,1982-03-13T00:00:00Z
http://www.wikidata.org/entity/Q1187355,Masaya Matsukaze,1976-09-09T00:00:00Z
http://www.wikidata.org/entity/Q1193000,هيرو يوكى,1965-02-13T00:00:00Z
http://www.wikidata.org/entity/Q1064970,ريو ناتسكي,1969-03-05T00:00:00Z
